PGN,Description
59392,ISO Acknowledgment
59904,ISO Request
60928,ISO Address Claim
126464,Transmit/Receive PGN List
126992,System Time
126993,Heartbeat
126996,Product Information
126998,Configuration Information
127233,Man Overboard Notification(MOB)
127237,Heading/Track Control
127245,Rudder
127250,Vessel Heading
127251,Rate of Turn
127252,Heave
127257,Attitude
127258,Magnetic Variation
127488,Engine Parameters, Rapid Update
127489,Engine Parameters, Dynamic
127493,Transmission Parameters, Dynamic
127497,Trip Fuel Consumption, Engine
127501,Binary Status Report
127505,Fluid Level
127506,DC Detailed Status
127507,Charger Status- DEPRECATED
127508,Battery Status
127513,Battery Configuration Status
128000,Nautical Leeway Angle PGN
128259,Speed, Water Referenced
128267,Water Depth
128275,Distance Log
128776,Windlass Control Status PGN
128777,Anchor Windlass Operating Status PGN
128778,Anchor Windlass Monitoring Status PGN
129025,Position, Rapid Update
129026,COG & SOG, Rapid Update
129029,GNSS Position Data
129033,Local Time Offset
129038,AIS Class A Position Report
129039,AIS Class B Position Report
129041,AIS Aids to Navigation (AtoN) Report
129283,Cross Track Error
129284,Navigation Data
129285,Navigation - Route/WP information
129539,GNSS DOPs
129540,GNSS Sats in View
129794,AIS Class A Static and Voyage Related Data
129802,AIS Safety Related Broadcast Message
129809,AIS Class B "CS" Static Data Report, Part A
129810,AIS Class B "CS" Static Data Report, Part B
130074,Route and WP Service - WP List - WP Name & Position
130306,Wind Data
130310,Environmental Parameters - DEPRECATED
130311,Environmental Parameters - DEPRECATED
130312,Temperature - DEPRECATED
130313,Humidity
130314,Actual Pressure
130315,Set Pressure
130316,Temperature Extended Range
130323,Meteorological Station Data
130576,Trim Tab Status
130577,Direction Data
130578,Vessel Speed Components
130823,Maretron Temperature High Range
130880,Armament and Weapon Status
130944,Weapon Control Status
